judul,kategori
"TikTok larang promosi konten judi online, tutup ribuan akun",Teknologi
"Kominfo blokir ratusan situs web ilegal dan judi online",Teknologi
"Pakar siber peringatkan bahaya IoT (Internet of Things) yang tidak terproteksi",Teknologi
"Tokopedia dan Shopee saling sikut di segmen live commerce",Teknologi
"Meta Platforms kembangkan robot human-like untuk gudang logistik",Teknologi
"SpaceX sukses luncurkan 50 satelit Starlink baru ke orbit",Teknologi
"Huawei rilis smartphone Mate 60 Pro tanpa lisensi Google",Teknologi
"Tren cloud gaming diprediksi kuasai pasar game mobile 2025",Teknologi
"Perusahaan keamanan siber Kaspersky deteksi virus baru yang menarget perbankan",Teknologi
"E-sport Mobile Legends ditonton 5 juta viewer di babak final M5",Teknologi
"Peluncuran konsol game PlayStation 6 diumumkan akhir tahun ini",Teknologi
"Penelitian: AI mampu deteksi kanker 10 tahun lebih cepat dari dokter",Teknologi
"Dampak TikTok Shop terhadap UMKM lokal, pemerintah kaji regulasi baru",Teknologi
"Drone pengiriman barang mulai diuji coba di wilayah Jakarta",Teknologi
"Regulator AS tuntut Google atas dugaan monopoli mesin pencari",Teknologi
"Perusahaan Nvidia capai valuasi $3 triliun, didorong permintaan chip AI",Teknologi
"Lisa Blackpink tampil solo di Coachella, sukses pukau penonton internasional",Hiburan
"Film horor Pengabdi Setan 3 pecahkan rekor 10 juta penonton dalam 10 hari",Hiburan
"Sutradara Joko Anwar umumkan proyek film superhero Indonesia, Gundala 2",Hiburan
"Aktor Korea Selatan Song Joong Ki menikah dengan mantan aktris Inggris",Hiburan
"Konser Coldplay di Jakarta ricuh, calo tiket ditangkap polisi",Hiburan
"Nominasi Oscar 2024 didominasi film Oppenheimer dan Barbie",Hiburan
"Drama Korea Queen of Tears raih rating tertinggi sepanjang masa di tvN",Hiburan
"Grup K-Pop BTS umumkan comeback setelah wajib militer selesai",Hiburan
"Aktris T ditangkap polisi terkait kasus narkoba, karir meredup",Hiburan
"Penyanyi Raisa gelar konser tunggal di GBK, tiket habis 10 menit",Hiburan
"Serial Netflix Squid Game 2 umumkan tanggal rilis, fans antusias",Hiburan
"Fenomena thrift shopping semakin populer di kalangan anak muda",Hiburan
"Desainer Indonesia Dian Pelangi tampil di New York Fashion Week",Hiburan
"Pelawak Bintang Emon menikahi kekasihnya, prosesi adat Sunda",Hiburan
"Pameran seni instalasi Yayoi Kusama dibuka untuk umum di Museum Macan",Hiburan
"Lagu Janji Suci dari Yovie & Nuno kembali viral di TikTok",Hiburan
"Film Disney Inside Out 2 raih box office $1 miliar global",Hiburan
"Boyband NCT Dream gelar konser 3 hari di Jakarta, tiket terjual habis",Hiburan
"Kontes kecantikan Miss Universe Indonesia diwarnai skandal pelecehan",Hiburan
"Podcast Deddy Corbuzier dan Onad bahas isu kesehatan mental",Hiburan
"Youtuber Atta Halilintar dan Aurel Hermansyah umumkan kehamilan kedua",Hiburan
"MasterChef Indonesia season 11 umumkan pemenang, chef Juna beri pujian",Hiburan
"Aktor Iko Uwais bintangi film laga Hollywood bersama Jason Statham",Hiburan
"Fenomena war ticket konser K-Pop, netizen tuntut transparansi",Hiburan
"Model dan artis Rima Melati meninggal dunia pada usia 82 tahun",Hiburan
"Timnas Indonesia lolos ke putaran final Piala Asia 2027 setelah penantian 20 tahun",Olahraga
"Persib Bandung juara Liga 1, taklukkan Persija Jakarta di final",Olahraga
"Lionel Messi raih Ballon d'Or ke-8, ungguli Erling Haaland",Olahraga
"Badminton: Anthony Ginting juara All England, akhiri paceklik gelar",Olahraga
"MotoGP: Marc Marquez resmi pindah ke tim Ducati pabrikan",Olahraga
"Formula 1: Max Verstappen kunci gelar juara dunia di seri Jepang",Olahraga
"NBA: Boston Celtics juarai NBA setelah mengalahkan Golden State Warriors",Olahraga
"PSSI umumkan Shin Tae-yong perpanjang kontrak hingga 2027",Olahraga
"Transfer pemain termahal: Kylian Mbappe pindah ke Real Madrid $250 juta",Olahraga
"Indonesia Open 2024: The Minions (Gideon/Sukamuljo) gagal di babak pertama",Olahraga
"Skandal pengaturan skor di Liga 2, beberapa pemain dan wasit ditangkap",Olahraga
"Atletik: Lalu Muhammad Zohri pecahkan rekor nasional lari 100 meter",Olahraga
"Timnas Putri Indonesia lolos kualifikasi Olimpiade Paris 2024",Olahraga
"BWF World Tour Finals: Apriyani/Fadia kalah di partai final",Olahraga
"Erick Thohir tunjuk Frank Wormuth sebagai Direktur Teknik PSSI",Olahraga
"Kompetisi e-sport Mobile Legends umumkan total hadiah $5 juta",Olahraga
"Pebasket Lebron James resmi pensiun dari NBA setelah 25 musim",Olahraga
"FIFA resmi mencabut status Indonesia sebagai tuan rumah Piala Dunia U-20",Olahraga
"Juara bertahan Liga Spanyol Barcelona tumbang di tangan Real Madrid",Olahraga
"Tenis: Carlos Alcaraz juarai Wimbledon, kalahkan Novak Djokovic",Olahraga
"Timnas Voli Putra Indonesia raih medali emas SEA Games",Olahraga
"Khabib Nurmagomedov kembali ke UFC sebagai pelatih",Olahraga
"Indonesia ajukan diri menjadi tuan rumah Olimpiade 2036",Olahraga
"Perenang I Gede Siman Sudartawa pecahkan rekor renang 50 meter gaya punggung",Olahraga
"Tim hoki es Indonesia raih kemenangan bersejarah di ajang internasional",Olahraga
"Harga minyak dunia melonjak tajam, kekhawatiran krisis energi global",Ekonomi
"BI resmi terapkan QRIS antar negara, permudah transaksi pariwisata",Ekonomi
"Pemerintah siapkan insentif pajak baru untuk investasi di IKN",Ekonomi
"OJK bekukan 20 perusahaan pinjaman online ilegal, merugikan miliaran rupiah",Ekonomi
"Produsen semen Indonesia rugi besar, harga batu bara naik signifikan",Ekonomi
"Bank Dunia: Utang luar negeri Indonesia terkendali, rasio di bawah 40%",Ekonomi
"Kementerian Perdagangan batasi impor barang konsumsi non-esensial",Ekonomi
"Inflasi inti melandai, daya beli masyarakat diprediksi membaik",Ekonomi
"Harga properti di Jakarta melonjak 15%, didorong proyek infrastruktur",Ekonomi
"Pemerintah kaji kenaikan tarif listrik non-subsidi di kuartal IV",Ekonomi
"Startup fintech Xyz raih pendanaan Seri B $20 juta dari investor Singapura",Ekonomi
"Dirjen Pajak ingatkan batas akhir pelaporan SPT Tahunan",Ekonomi
"Saham PT Telkom anjlok pasca pengumuman laba turun 5%",Ekonomi
"Pertumbuhan ekonomi ASEAN diprediksi lebih baik dari Eropa dan AS",Ekonomi
"Bursa Efek Indonesia (BEI) luncurkan papan akselerasi untuk UMKM",Ekonomi
"Pemerintah tetapkan Upah Minimum Regional (UMR) naik rata-rata 5%",Ekonomi
"Kemenparekraf targetkan 10 juta kunjungan wisatawan mancanegara 2024",Ekonomi
"Bank Indonesia: Rupiah stabil di kisaran Rp15.600 menjelang FOMC meeting",Ekonomi
"BPJS Ketenagakerjaan gandeng BUMN investasi di obligasi pemerintah",Ekonomi
"Harga gas alam anjlok, dipicu suplai berlimpah dari Rusia",Ekonomi
"Rencana IPO perusahaan tambang nikel Indonesia ditunda",Ekonomi
"Kenaikan PPN 11% picu gejolak harga barang elektronik",Ekonomi
"Pemerintah alokasikan Rp5 triliun untuk pengembangan sektor pertanian",Ekonomi
"Dirut PLN umumkan program konversi kompor gas ke listrik",Ekonomi
"Kementerian BUMN lanjutkan program privatisasi anak perusahaan",Ekonomi
"Kepala Bappenas klaim IKN akan menjadi kota pintar pertama di Indonesia",Politik
"KPK panggil Muhaimin Iskandar (Cak Imin) terkait kasus lama",Politik
"Presiden Jokowi hadiri KTT ASEAN di Jakarta, bahas isu Myanmar",Politik
"Surya Paloh NasDem tegaskan koalisi dengan PKS dan Demokrat tetap solid",Politik
"Komisi I DPR desak pemerintah evaluasi sistem keamanan siber nasional",Politik
"Partai Golkar resmi mendukung Airlangga Hartarto sebagai calon presiden",Politik
"Menteri LHK Siti Nurbaya usulkan revisi UU Konservasi Sumber Daya Alam",Politik
"Kapolri umumkan penangkapan bandar narkoba terbesar di Indonesia",Politik
"Debat Capres ketiga: Prabowo Subianto dinilai unggul di isu pertahanan",Politik
"Wacana pemilu distrik kembali mengemuka di kalangan politisi Senayan",Politik
"Keputusan MK soal batas usia capres-cawapres tuai kritik masyarakat",Politik
"Panglima TNI Andika Perkasa digantikan oleh Jenderal Yudo Margono",Politik
"Presiden kunjungi pabrik mobil listrik di Karawang, dorong investasi hijau",Politik
"Komisi II DPR bahas persiapan Pilkada serentak 2024",Politik
"DPR sahkan UU Perubahan Kedua tentang Informasi dan Transaksi Elektronik (ITE)",Politik
"Pemerintah umumkan Bantuan Langsung Tunai (BLT) untuk 20 juta keluarga miskin",Politik
"Menteri Pendidikan Nadiem Makarim rombak kurikulum sekolah menengah",Politik
"Kasus korupsi proyek BTS Kominfo: Johnny G. Plate ditahan Kejaksaan Agung",Politik
"Partai Demokrat resmi keluar dari koalisi pendukung pemerintah",Politik
"Jokowi bertemu Puan Maharani, sinyal rekonsiliasi politik",Politik
"Keputusan Presiden soal status tenaga honorer ASN",Politik
"Mahkamah Agung batalkan Perda tentang pembatasan kendaraan roda dua",Politik
"Menteri Dalam Negeri Tito Karnavian lantik 10 Penjabat (Pj) Gubernur baru",Politik
"Wakil Presiden Ma'ruf Amin dorong ekonomi syariah di Indonesia",Politik
"Dewan Kehormatan Penyelenggara Pemilu (DKPP) berhentikan tiga komisioner KPU",Politik
"Instagram luncurkan Threads, aplikasi pesaing Twitter, capai 100 juta pengguna",Teknologi
"Apple resmi rilis iPhone 16 dengan chip M3 dan kamera 48MP",Teknologi
"SpaceX Starship meledak di atmosfer saat uji coba penerbangan ke orbit",Teknologi
"TikTok Shop dilarang beroperasi di Indonesia, pindah ke e-commerce lokal",Teknologi
"Perusahaan chip Intel bangun pabrik semikonduktor terbesar di Eropa",Teknologi
"Google kembangkan AI untuk membuat konten video secara otomatis",Teknologi
"Peneliti ITB kembangkan robot penyelamat bencana alam",Teknologi
"Ancaman serangan siber ke infrastruktur vital Indonesia meningkat 200%",Teknologi
"Dampak AI generatif terhadap pekerjaan: 50% pekerjaan diprediksi hilang",Teknologi
"Perusahaan mobil listrik Tesla kembangkan teknologi baterai solid-state",Teknologi
"Kominfo percepat pembangunan infrastruktur 5G di wilayah timur Indonesia",Teknologi
"Meta Platforms merilis Meta Quest 3, headset VR/AR yang lebih ringan",Teknologi
"Startup kesehatan Halodoc raih pendanaan Seri D dari investor Jepang",Teknologi
"E-sport Valorant jadi cabang olahraga resmi di Asian Games 2026",Teknologi
"Kasus phishing via WhatsApp marak, OJK minta masyarakat waspada",Teknologi
"Nvidia rilis GPU terbaru, RTX 5090, diklaim 2x lebih cepat dari seri sebelumnya",Teknologi
"Pemerintah luncurkan program 1 juta talenta digital",Teknologi
"Xiaomi rilis smartphone 14 Ultra dengan kamera Leica",Teknologi
"Telkomsel uji coba teknologi 6G di Jakarta",Teknologi
"Penelitian: Penggunaan AI dalam militer memicu kekhawatiran etika",Teknologi
"Startup Agritech (teknologi pertanian) semakin diminati investor",Teknologi
"Bitcoin Halving 2024 diprediksi memicu lonjakan harga kripto",Teknologi
"Pengembangan kota pintar di IKN terkendala pasokan chip",Teknologi
"Microsoft hentikan dukungan untuk sistem operasi Windows 10",Teknologi
"Regulasi baru pemerintah tentang perlindungan data pribadi e-commerce",Teknologi
"Film Parasite dari Korea Selatan memenangkan empat piala Oscar",Hiburan
"Konser Ed Sheeran di GBK sukses, penonton terhipnotis penampilan akustik",Hiburan
"Aktris A dituntut cerai suaminya, isu KDRT mencuat",Hiburan
"Film Avatar 2 tembus box office $2 miliar global",Hiburan
"Penyanyi Tulus rilis album baru, langsung duduki puncak tangga lagu",Hiburan
"Serial Netflix Wednesday season 2 umumkan pemeran baru",Hiburan
"Festival musik Synchronize Fest umumkan line up musisi legendaris",Hiburan
"Komedian Indro Warkop kembali ke layar lebar setelah vakum 5 tahun",Hiburan
"Youtuber Ria Ricis dan Teuku Ryan resmi bercerai, hak asuh anak diperebutkan",Hiburan
"Film Miracle in Cell No. 7 versi Indonesia raih 5 juta penonton",Hiburan
"Ajang pencarian bakat X Factor Indonesia umumkan pemenang",Hiburan
"Perdebatan ending film Dune yang dinilai menggantung",Hiburan
"Chef Juna dan Chef Renatta buka restoran mewah di Bali",Hiburan
"Kontes kecantikan Miss Grand International 2024 digelar di Vietnam",Hiburan
"Grup K-Pop NewJeans merilis single baru dengan konsep unik",Hiburan
"Pameran instalasi seni Art Jakarta dihadiri ribuan kolektor",Hiburan
"Aktor Vino G. Bastian bintangi film biopik Wiji Thukul",Hiburan
"Tren podcast horor di Indonesia semakin diminati pendengar",Hiburan
"Model dan artis Luna Maya umumkan akan menikah tahun depan",Hiburan
"Album Midnights Taylor Swift pecahkan rekor streaming Spotify",Hiburan
"Kisah inspiratif penyanyi dangdut Via Vallen dari nol hingga sukses",Hiburan
"Aktris B membantah rumor pindah agama, tegaskan tetap muslim",Hiburan
"Film superhero DC The Flash gagal total di Box Office",Hiburan
"Boyband TREASURE gelar konser solo di Jakarta, tiket ludes 3 jam",Hiburan
"Fashion show desainer Biyan di Paris Fashion Week",Hiburan
"Liverpool kalahkan Manchester City 3-1, kuasai puncak klasemen Liga Inggris",Olahraga
"Kevin Sanjaya/Marcus Gideon bubar, ganda putra Indonesia berpasangan baru",Olahraga
"Real Madrid raih gelar Liga Champions ke-15, kalahkan Dortmund di final",Olahraga
"Timnas Indonesia U-23 lolos ke Olimpiade Paris 2024, mengalahkan Korea Selatan",Olahraga
"Lewis Hamilton pensiun dari Formula 1 akhir musim ini",Olahraga
"PSSI resmikan naturalisasi 3 pemain keturunan Eropa untuk Timnas",Olahraga
"NBA Draft 2024: Victor Wembanyama dari Prancis jadi pilihan pertama",Olahraga
"BWF World Tour: Jonatan Christie juara Indonesia Masters",Olahraga
"Pelatih Manchester United Erik ten Hag dipecat, Zidane jadi kandidat kuat",Olahraga
"Asian Games 2026: Indonesia targetkan 20 medali emas",Olahraga
"Khabib Nurmagomedov menolak tawaran comeback UFC $100 juta",Olahraga
"Timnas Putri Indonesia cetak sejarah di ajang Piala Asia Wanita",Olahraga
"MotoGP Mandalika: Fabio Quartararo raih pole position",Olahraga
"E-sport: Tim ONIC Esports juara M5 World Championship Mobile Legends",Olahraga
"Wimbledon: Petenis Coco Gauff juarai tunggal putri",Olahraga
"Indonesia ajukan diri sebagai tuan rumah Piala Dunia 2034 bersama Australia",Olahraga
"Skandal pengaturan usia pemain di Liga 3 Indonesia terungkap",Olahraga
"Atlet Paralimpik Indonesia raih 5 medali emas di ajang Asian Para Games",Olahraga
"Hasil pertandingan Liga Italia: Inter Milan pesta gol ke gawang AC Milan",Olahraga
"Pelatih Shin Tae-yong dikabarkan diincar timnas Korea Selatan",Olahraga
"Kompetisi basket IBL umumkan format baru musim 2024",Olahraga
"Timnas Indonesia U-17 lolos Piala Dunia U-17 di kandang sendiri",Olahraga
"Pembalap Rio Haryanto comeback di ajang Formula 2",Olahraga
"Kontroversi VAR mewarnai pertandingan Liga Inggris pekan ke-30",Olahraga
"Federasi Angkat Besi Indonesia targetkan emas di Olimpiade 2028",Olahraga
"Bank Indonesia rilis uang kertas baru, pecahan Rp1.000 hingga Rp100.000",Ekonomi
"Harga properti komersial di Jakarta turun 8%, imbas pandemi",Ekonomi
"Pemerintah cabut subsidi listrik 900 VA, tuai protes masyarakat",Ekonomi
"OJK perketat aturan modal minimal perusahaan fintech P2P Lending",Ekonomi
"Kemenkeu umumkan penerimaan pajak tumbuh 15% di kuartal I 2024",Ekonomi
"Investor ritel lokal kuasai 70% transaksi di Bursa Efek Indonesia",Ekonomi
"Ekspor batubara Indonesia terancam sanksi Uni Eropa terkait isu lingkungan",Ekonomi
"Pertumbuhan industri manufaktur melambat, Purchasing Managers' Index (PMI) turun",Ekonomi
"Harga cabai merah anjlok drastis, petani di Jawa Tengah rugi besar",Ekonomi
"Pemerintah siapkan dana abadi pendidikan Rp100 triliun",Ekonomi
"Startup kesehatan Mental Health Apps raih pendanaan seed funding",Ekonomi
"Dirjen Bea Cukai sita jutaan rokok ilegal dari Batam",Ekonomi
"Saham GOTO anjlok 10% pasca lock up periode berakhir",Ekonomi
"Bank BUMN terbitkan obligasi hijau senilai $500 juta",Ekonomi
"Kementerian Koperasi dorong UMKM masuk ekosistem digital",Ekonomi
"Pemerintah umumkan Bantuan Langsung Tunai (BLT) untuk petani",Ekonomi
"Kemenhub kaji kenaikan tarif ojek online (ojol) di Jabodetabek",Ekonomi
"Bank Indonesia resmi luncurkan CBDC (Central Bank Digital Currency) Rupiah Digital",Ekonomi
"Harga nikel global melonjak, didorong permintaan baterai kendaraan listrik",Ekonomi
"IMF beri peringatan soal utang negara berkembang, Indonesia termasuk",Ekonomi
"Rencana IPO perusahaan perkebunan kelapa sawit ditunda, isu lahan",Ekonomi
"Kenaikan suku bunga The Fed pengaruhi nilai tukar mata uang Asia",Ekonomi
"Pemerintah alokasikan Rp20 triliun untuk pembangunan infrastruktur IKN",Ekonomi
"Dirut PLN tegaskan tidak ada pemadaman listrik total selama Nataru",Ekonomi
"Kementerian BUMN targetkan efisiensi biaya operasional 15% tahun ini",Ekonomi
"Jokowi umumkan Budi Gunadi Sadikin sebagai Menkes baru, Terawan di-reshuffle",Politik
"KPK geledah rumah dinas Gubernur Papua Lukas Enembe, terkait gratifikasi",Politik
"Presiden Jokowi kunjungi Rusia, bertemu Vladimir Putin bahas perdamaian Ukraina",Politik
"Koalisi Indonesia Bersatu (KIB) bubar, masing-masing partai tentukan arah sendiri",Politik
"Komisi I DPR kritisi kebijakan luar negeri Menlu Retno Marsudi",Politik
"Partai NasDem usung Anies Baswedan sebagai calon presiden 2024",Politik
"Menteri Sosial Tri Rismaharini copot 5 pejabat eselon I Kemensos",Politik
"Kapolri tegaskan tidak ada toleransi bagi anggota yang terlibat narkoba",Politik
"Debat Capres keempat: Anies Baswedan dinilai paling menguasai isu ekonomi",Politik
"Wacana penambahan kursi DPR RI kembali dibahas di Komisi II",Politik
"MK tolak gugatan batas usia capres-cawapres dari partai non-parlemen",Politik
"Panglima TNI tegaskan siap menghadapi potensi konflik di Laut China Selatan",Politik
"Presiden Jokowi resmikan pabrik baterai kendaraan listrik Hyundai",Politik
"Komisi II DPR setujui anggaran KPU Rp24 triliun untuk Pemilu 2024",Politik
"DPR sahkan UU Perlindungan Data Pribadi (PDP), berlaku 2 tahun lagi",Politik
"Pemerintah tetapkan kenaikan gaji PNS dan TNI/Polri 5%",Politik
"Menteri Pariwisata Sandiaga Uno dorong pariwisata berbasis desa",Politik
"Kasus korupsi proyek pembangunan gereja, 10 orang ditahan Kejaksaan",Politik
"Partai Gerindra resmi mendukung Prabowo Subianto sebagai capres 2024",Politik
"Jokowi bertemu Surya Paloh, sinyal kembali mesra setelah kritik tajam",Politik
"Keputusan Presiden soal pengangkatan 1.000 guru honorer menjadi PPPK",Politik
"Mahkamah Agung kabulkan uji materi UU Pemilu, terkait ambang batas parlemen",Politik
"Menteri Dalam Negeri keluarkan aturan baru soal mutasi kepala daerah",Politik
"Wakil Presiden Ma'ruf Amin dorong inklusi keuangan di pedesaan",Politik
"DKPP berhentikan Ketua Bawaslu karena melanggar kode etik",Politik
"Perusahaan chip Nvidia capai valuasi $4 triliun, didorong booming AI",Teknologi
"Samsung Galaxy Z Fold 6 dan Flip 6 resmi rilis, desain lebih tipis",Teknologi
"OpenAI rilis DALL-E 3, AI pembuat gambar yang lebih realistis",Teknologi
"Startup Agritech Sayurbox tutup operasional di beberapa kota",Teknologi
"Kasus kebocoran data BPJS Kesehatan: 100 juta data dijual di forum hacker",Teknologi
"Apple Watch Series 10 hadir dengan sensor gula darah non-invasif",Teknologi
"Microsoft rilis Copilot, AI asisten untuk Windows dan Office",Teknologi
"Ancaman AI dalam penciptaan malware semakin nyata, pakar siber waspada",Teknologi
"Dampak AI terhadap sektor pendidikan: guru mulai gunakan AI untuk bantu mengajar",Teknologi
"Mobil listrik Wuling Binguo laris manis, kuasai pasar mobil listrik murah",Teknologi
"Kominfo luncurkan program pelatihan siber untuk ASN",Teknologi
"Meta Platforms kembangkan kacamata pintar Ray-Ban dengan AI",Teknologi
"Startup logistik SiCepat raih pendanaan Seri E, fokus ekspansi luar negeri",Teknologi
"E-sport Mobile Legends adakan turnamen khusus wanita, MPL-W",Teknologi
"Kasus penipuan online melalui media sosial Facebook meningkat",Teknologi
"Sony rilis PlayStation 5 Slim, versi lebih kecil dan ringan",Teknologi
"Pemerintah luncurkan platform data nasional terintegrasi",Teknologi
"Xiaomi rilis mobil listrik SU7, langsung bersaing dengan Tesla",Teknologi
"Indosat Ooredoo Hutchison uji coba 5G-Advanced (5.5G)",Teknologi
"Penelitian: AI mampu memprediksi gempa bumi lebih akurat",Teknologi
"Startup Fintech Xendit capai status decacorn ($10 miliar)",Teknologi
"Bitcoin Halving pengaruhi harga GPU, miner mulai jual alat",Teknologi
"Pengembangan jaringan internet di IKN capai 80%",Teknologi
"Microsoft akuisisi perusahaan game Blizzard Entertainment",Teknologi
"Regulasi baru pemerintah tentang konten digital di platform media sosial",Teknologi
"Film Agak Laen tembus 9 juta penonton, jadi film komedi terlaris",Hiburan
"Konser Bruno Mars di Jakarta batal, promotor janji kembalikan uang tiket",Hiburan
"Aktor Bintang Emon dikaruniai anak pertama, umumkan di Instagram",Hiburan
"Film Joker 2 rilis trailer perdana, Lady Gaga jadi Harley Quinn",Hiburan
"Penyanyi Niki Zefanya tampil di Coachella, bawa nama Indonesia ke kancah global",Hiburan
"Serial Netflix Gadis Kretek raih pujian kritis di luar negeri",Hiburan
"Festival musik Head in the Clouds (HITC) Jakarta umumkan line up lengkap",Hiburan
"Komedian Sule dan Nathalie Holscher rujuk, kembali bersama demi anak",Hiburan
"Youtuber Jerome Polin lulus dari universitas Jepang, IPK sempurna",Hiburan
"Film Mencuri Raden Saleh diadaptasi menjadi serial di Disney+",Hiburan
"Ajang pencarian bakat Indonesia Idol umumkan pemenang season baru",Hiburan
"Perdebatan cringe di drama Korea, netizen sebut terlalu lebay",Hiburan
"Chef Arnold Poernomo buka restoran masakan Nusantara di London",Hiburan
"Kontes kecantikan Miss World 2024 digelar di India",Hiburan
"Grup K-Pop BLACKPINK umumkan perpanjangan kontrak dengan YG Entertainment",Hiburan
"Pameran instalasi seni The Light in the Dark sukses digelar di Surabaya",Hiburan
"Aktor Reza Rahadian bintangi film adaptasi novel Tere Liye",Hiburan
"Tren mukbang di Indonesia mulai ditinggalkan, diganti review makanan",Hiburan
"Model dan artis Cinta Laura Kiehl dorong isu lingkungan dan pendidikan",Hiburan
"Album 30 Adele pecahkan rekor penjualan album fisik tercepat",Hiburan
"Kisah inspiratif komika Stand Up Comedy dari daerah terpencil",Hiburan
"Aktris C membintangi film Hollywood sebagai tokoh antagonis",Hiburan
"Film The Marvels gagal di Box Office, Disney rugi besar",Hiburan
"Boyband Super Junior gelar konser reuni di Jakarta, ELF histeris",Hiburan
"Fashion show desainer Rinaldy A. Yunardi di Milan Fashion Week",Hiburan
"Manchester United juara Piala FA, kalahkan Manchester City di final",Olahraga
"Badminton: Fajar Alfian/Rian Ardianto juara Malaysia Open",Olahraga
"Barcelona juara Liga Spanyol, ungguli Real Madrid 10 poin",Olahraga
"Timnas Indonesia lolos ke babak 16 besar Piala Asia 2023",Olahraga
"Marc Marquez raih kemenangan perdana bersama tim Gresini Ducati",Olahraga
"Formula 1: Charles Leclerc (Ferrari) menangkan Grand Prix Monaco",Olahraga
"NBA: Los Angeles Lakers juara In-Season Tournament",Olahraga
"PSSI umumkan Shin Tae-yong akan melatih timnas U-20 dan U-23",Olahraga
"Transfer pemain: Mo Salah pindah ke Liga Arab Saudi",Olahraga
"Indonesia Masters: Gregoria Mariska Tunjung kalah di babak semifinal",Olahraga
"Skandal pengaturan skor sepak bola wanita Indonesia terungkap",Olahraga
"Atletik: Maria Natalia Londa raih medali emas lompat jauh SEA Games",Olahraga
"Timnas Putri Indonesia hadapi Jepang di laga persahabatan",Olahraga
"BWF World Tour Finals: Chico Aura Dwi Wardoyo gugur di fase grup",Olahraga
"Erick Thohir tunjuk Arsene Wenger sebagai penasihat teknis PSSI",Olahraga
"Kompetisi e-sport PUBG Mobile adakan turnamen dengan hadiah $1 juta",Olahraga
"Pebasket Bintang Timur Surabaya juarai IBL 2024",Olahraga
"FIFA putuskan Piala Dunia U-17 tetap digelar di Indonesia",Olahraga
"Juara bertahan Liga Italia Napoli tumbang di kandang sendiri",Olahraga
"Tenis: Jannik Sinner juarai Australian Open, kalahkan Medvedev",Olahraga
"Timnas Voli Putri Indonesia raih perak SEA Games",Olahraga
"Petarung UFC Jeka Saragih kalah di debutnya",Olahraga
"Indonesia targetkan masuk 10 besar perolehan medali Olimpiade 2036",Olahraga
"Perenang Triady Fauzi Sidiq pecahkan rekor renang 100 meter gaya bebas",Olahraga
"Tim dayung Indonesia raih 3 medali emas di Kejuaraan Asia",Olahraga
"Perusahaan minyak Aramco umumkan laba kuartalan terbesar di dunia",Ekonomi
"BI luncurkan fitur buy now pay later (BNPL) di QRIS",Ekonomi
"Pemerintah siapkan insentif pajak untuk perusahaan padat karya",Ekonomi
"OJK kaji regulasi bank digital, perketat syarat perizinan",Ekonomi
"Produsen mie instan Indofood catatkan rekor penjualan tertinggi",Ekonomi
"Bank Sentral AS (The Fed) naikkan suku bunga 50 basis poin, pasar bergejolak",Ekonomi
"Kementerian Perdagangan sidak pasar, temukan praktik penimbunan minyak goreng",Ekonomi
"Inflasi di Jawa Timur terendah se-Indonesia, diklaim karena surplus pangan",Ekonomi
"Harga properti subsidi naik 10%, diimbangi fasilitas KPR dari pemerintah",Ekonomi
"Pemerintah targetkan surplus neraca perdagangan $50 miliar tahun ini",Ekonomi
"Startup agritech TaniHub bangkrut, kesulitan bersaing dengan pasar tradisional",Ekonomi
"Dirjen Pajak gencarkan program pengampunan pajak (Tax Amnesty) jilid II",Ekonomi
"Saham PT Astra International melesat setelah rilis penjualan mobil naik 25%",Ekonomi
"Bank BNI terbitkan green bond untuk proyek energi terbarukan",Ekonomi
"Kementerian Koperasi dorong sertifikasi halal untuk UMKM kuliner",Ekonomi
"Pemerintah umumkan Bantuan Langsung Tunai (BLT) untuk nelayan",Ekonomi
"Kemenhub batalkan rencana kenaikan tarif tol Trans Jawa",Ekonomi
"Bank Indonesia resmi kerjasama dengan Bank Sentral China soal Yuan",Ekonomi
"Harga timah global anjlok, dipicu isu penambangan ilegal",Ekonomi
"IMF puji reformasi struktural ekonomi Indonesia",Ekonomi
"Rencana IPO perusahaan telekomunikasi Smartfren ditunda",Ekonomi
"Kenaikan suku bunga Bank Sentral Eropa picu pelemahan Euro",Ekonomi
"Pemerintah alokasikan Rp15 triliun untuk pengembangan sektor pariwisata",Ekonomi
"Dirut PLN umumkan program listrik gratis untuk 1 juta rumah tangga miskin",Ekonomi
"Kementerian BUMN lanjutkan program divestasi saham minoritas",Ekonomi
"Presiden Jokowi tegaskan pembangunan IKN tidak akan mangkrak",Politik
"KPK tangkap Bupati Sidoarjo terkait kasus jual beli jabatan",Politik
"Presiden Jokowi kunjungi Amerika Serikat, bertemu Joe Biden bahas investasi",Politik
"Ketua Umum Partai Gerindra, Prabowo Subianto, umumkan calon wakil presiden",Politik
"Komisi I DPR desak pemerintah evaluasi diplomasi Indonesia di PBB",Politik
"Partai Demokrat resmi bergabung dengan koalisi pendukung pemerintah",Politik
"Menteri Hukum dan HAM Yasonna Laoly revisi UU Pemasyarakatan",Politik
"Polisi bongkar sindikat perdagangan orang internasional, 50 korban diselamatkan",Politik
"Debat Capres kelima fokus pada isu hukum, HAM, dan antikorupsi",Politik
"Wacana pemilu serentak 2029 kembali diusulkan KPU",Politik
"MK tolak gugatan judicial review UU IKN, proses pemindahan jalan terus",Politik
"Panglima TNI tegaskan independensi militer dari politik praktis",Politik
